日期,代码,名称,今开,最新价,最高,最低,振幅
1990-01-26,ISEQ,爱尔兰综合,1847.09,1847.09,1847.09,1847.09,0.0
1990-01-29,ISEQ,爱尔兰综合,1843.99,1843.99,1843.99,1843.99,0.0
1990-01-30,ISEQ,爱尔兰综合,1833.97,1833.97,1833.97,1833.97,0.0
1990-01-31,ISEQ,爱尔兰综合,1837.46,1837.46,1837.46,1837.46,0.0
1990-02-01,ISEQ,爱尔兰综合,1859.11,1859.11,1859.11,1859.11,0.0
1990-02-02,ISEQ,爱尔兰综合,1860.86,1860.86,1860.86,1860.86,0.0
1990-02-05,ISEQ,爱尔兰综合,1851.81,1851.81,1851.81,1851.81,0.0
1990-02-06,ISEQ,爱尔兰综合,1840.86,1840.86,1840.86,1840.86,0.0
1990-02-07,ISEQ,爱尔兰综合,1842.36,1842.36,1842.36,1842.36,0.0
1990-02-08,ISEQ,爱尔兰综合,1846.43,1846.43,1846.43,1846.43,0.0
1990-02-09,ISEQ,爱尔兰综合,1846.43,1846.43,1846.43,1846.43,0.0
1990-02-12,ISEQ,爱尔兰综合,1840.98,1840.98,1840.98,1840.98,0.0
1990-02-13,ISEQ,爱尔兰综合,1828.56,1828.56,1828.56,1828.56,0.0
1990-02-14,ISEQ,爱尔兰综合,1821.78,1821.78,1821.78,1821.78,0.0
1990-02-15,ISEQ,爱尔兰综合,1818.18,1818.18,1818.18,1818.18,0.0
1990-02-16,ISEQ,爱尔兰综合,1818.31,1818.31,1818.31,1818.31,0.0
1990-02-19,ISEQ,爱尔兰综合,1797.97,1797.97,1797.97,1797.97,0.0
1990-02-20,ISEQ,爱尔兰综合,1783.51,1783.51,1783.51,1783.51,0.0
1990-02-21,ISEQ,爱尔兰综合,1780.13,1780.13,1780.13,1780.13,0.0
1990-02-22,ISEQ,爱尔兰综合,1794.22,1794.22,1794.22,1794.22,0.0
1990-02-23,ISEQ,爱尔兰综合,1790.36,1790.36,1790.36,1790.36,0.0
1990-02-26,ISEQ,爱尔兰综合,1792.33,1792.33,1792.33,1792.33,0.0
1990-02-27,ISEQ,爱尔兰综合,1797.03,1797.03,1797.03,1797.03,0.0
1990-02-28,ISEQ,爱尔兰综合,1796.26,1796.26,1796.26,1796.26,0.0
1990-03-01,ISEQ,爱尔兰综合,1797.44,1797.44,1797.44,1797.44,0.0
1990-03-02,ISEQ,爱尔兰综合,1790.06,1790.06,1790.06,1790.06,0.0
1990-03-05,ISEQ,爱尔兰综合,1772.34,1772.34,1772.34,1772.34,0.0
1990-03-06,ISEQ,爱尔兰综合,1753.26,1753.26,1753.26,1753.26,0.0
1990-03-07,ISEQ,爱尔兰综合,1737.59,1737.59,1737.59,1737.59,0.0
1990-03-08,ISEQ,爱尔兰综合,1723.93,1723.93,1723.93,1723.93,0.0
1990-03-09,ISEQ,爱尔兰综合,1728.43,1728.43,1728.43,1728.43,0.0
1990-03-12,ISEQ,爱尔兰综合,1728.41,1728.41,1728.41,1728.41,0.0
1990-03-13,ISEQ,爱尔兰综合,1736.6,1736.6,1736.6,1736.6,0.0
1990-03-14,ISEQ,爱尔兰综合,1743.02,1743.02,1743.02,1743.02,0.0
1990-03-15,ISEQ,爱尔兰综合,1757.74,1757.74,1757.74,1757.74,0.0
1990-03-16,ISEQ,爱尔兰综合,1768.31,1768.31,1768.31,1768.31,0.0
1990-03-20,ISEQ,爱尔兰综合,1766.2,1766.2,1766.2,1766.2,0.0
1990-03-21,ISEQ,爱尔兰综合,1757.09,1757.09,1757.09,1757.09,0.0
1990-03-22,ISEQ,爱尔兰综合,1746.23,1746.23,1746.23,1746.23,0.0
1990-03-23,ISEQ,爱尔兰综合,1749.49,1749.49,1749.49,1749.49,0.0
1990-03-26,ISEQ,爱尔兰综合,1759.17,1759.17,1759.17,1759.17,0.0
1990-03-27,ISEQ,爱尔兰综合,1754.25,1754.25,1754.25,1754.25,0.0
1990-03-28,ISEQ,爱尔兰综合,1756.01,1756.01,1756.01,1756.01,0.0
1990-03-29,ISEQ,爱尔兰综合,1757.82,1757.82,1757.82,1757.82,0.0
1990-03-30,ISEQ,爱尔兰综合,1750.51,1750.51,1750.51,1750.51,0.0
1990-04-02,ISEQ,爱尔兰综合,1727.22,1727.22,1727.22,1727.22,0.0
1990-04-03,ISEQ,爱尔兰综合,1724.5,1724.5,1724.5,1724.5,0.0
1990-04-04,ISEQ,爱尔兰综合,1716.96,1716.96,1716.96,1716.96,0.0
1990-04-05,ISEQ,爱尔兰综合,1717.69,1717.69,1717.69,1717.69,0.0
1990-04-06,ISEQ,爱尔兰综合,1719.94,1719.94,1719.94,1719.94,0.0
1990-04-09,ISEQ,爱尔兰综合,1722.58,1722.58,1722.58,1722.58,0.0
1990-04-10,ISEQ,爱尔兰综合,1719.56,1719.56,1719.56,1719.56,0.0
1990-04-11,ISEQ,爱尔兰综合,1718.35,1718.35,1718.35,1718.35,0.0
1990-04-12,ISEQ,爱尔兰综合,1717.73,1717.73,1717.73,1717.73,0.0
1990-04-17,ISEQ,爱尔兰综合,1717.95,1717.95,1717.95,1717.95,0.0
1990-04-18,ISEQ,爱尔兰综合,1712.77,1712.77,1712.77,1712.77,0.0
1990-04-19,ISEQ,爱尔兰综合,1707.37,1707.37,1707.37,1707.37,0.0
1990-04-20,ISEQ,爱尔兰综合,1716.45,1716.45,1716.45,1716.45,0.0
1990-04-23,ISEQ,爱尔兰综合,1706.72,1706.72,1706.72,1706.72,0.0
1990-04-24,ISEQ,爱尔兰综合,1691.17,1691.17,1691.17,1691.17,0.0
1990-04-25,ISEQ,爱尔兰综合,1679.29,1679.29,1679.29,1679.29,0.0
1990-04-26,ISEQ,爱尔兰综合,1668.23,1668.23,1668.23,1668.23,0.0
1990-04-27,ISEQ,爱尔兰综合,1658.19,1658.19,1658.19,1658.19,0.0
1990-04-30,ISEQ,爱尔兰综合,1612.93,1612.93,1612.93,1612.93,0.0
1990-05-01,ISEQ,爱尔兰综合,1583.66,1583.66,1583.66,1583.66,0.0
1990-05-02,ISEQ,爱尔兰综合,1582.61,1582.61,1582.61,1582.61,0.0
1990-05-03,ISEQ,爱尔兰综合,1587.8,1587.8,1587.8,1587.8,0.0
1990-05-04,ISEQ,爱尔兰综合,1599.16,1599.16,1599.16,1599.16,0.0
1990-05-07,ISEQ,爱尔兰综合,1601.03,1601.03,1601.03,1601.03,0.0
1990-05-08,ISEQ,爱尔兰综合,1600.58,1600.58,1600.58,1600.58,0.0
1990-05-09,ISEQ,爱尔兰综合,1604.35,1604.35,1604.35,1604.35,0.0
1990-05-10,ISEQ,爱尔兰综合,1602.4,1602.4,1602.4,1602.4,0.0
1990-05-11,ISEQ,爱尔兰综合,1608.94,1608.94,1608.94,1608.94,0.0
1990-05-14,ISEQ,爱尔兰综合,1617.38,1617.38,1617.38,1617.38,0.0
1990-05-15,ISEQ,爱尔兰综合,1619.83,1619.83,1619.83,1619.83,0.0
1990-05-16,ISEQ,爱尔兰综合,1619.83,1619.83,1619.83,1619.83,0.0
1990-05-17,ISEQ,爱尔兰综合,1631.28,1631.28,1631.28,1631.28,0.0
1990-05-18,ISEQ,爱尔兰综合,1640.13,1640.13,1640.13,1640.13,0.0
1990-05-21,ISEQ,爱尔兰综合,1640.93,1640.93,1640.93,1640.93,0.0
1990-05-22,ISEQ,爱尔兰综合,1642.75,1642.75,1642.75,1642.75,0.0
1990-05-23,ISEQ,爱尔兰综合,1640.13,1640.13,1640.13,1640.13,0.0
1990-05-24,ISEQ,爱尔兰综合,1643.8,1643.8,1643.8,1643.8,0.0
1990-05-25,ISEQ,爱尔兰综合,1646.87,1646.87,1646.87,1646.87,0.0
1990-05-28,ISEQ,爱尔兰综合,1640.17,1640.17,1640.17,1640.17,0.0
1990-05-29,ISEQ,爱尔兰综合,1657.73,1657.73,1657.73,1657.73,0.0
1990-05-30,ISEQ,爱尔兰综合,1682.85,1682.85,1682.85,1682.85,0.0
1990-05-31,ISEQ,爱尔兰综合,1704.73,1704.73,1704.73,1704.73,0.0
1990-06-01,ISEQ,爱尔兰综合,1710.25,1710.25,1710.25,1710.25,0.0
1990-06-05,ISEQ,爱尔兰综合,1709.92,1709.92,1709.92,1709.92,0.0
1990-06-06,ISEQ,爱尔兰综合,1702.27,1702.27,1702.27,1702.27,0.0
1990-06-07,ISEQ,爱尔兰综合,1709.43,1709.43,1709.43,1709.43,0.0
1990-06-08,ISEQ,爱尔兰综合,1706.05,1706.05,1706.05,1706.05,0.0
1990-06-11,ISEQ,爱尔兰综合,1706.89,1706.89,1706.89,1706.89,0.0
1990-06-12,ISEQ,爱尔兰综合,1716.25,1716.25,1716.25,1716.25,0.0
1990-06-13,ISEQ,爱尔兰综合,1724.51,1724.51,1724.51,1724.51,0.0
1990-06-14,ISEQ,爱尔兰综合,1725.6,1725.6,1725.6,1725.6,0.0
1990-06-15,ISEQ,爱尔兰综合,1724.67,1724.67,1724.67,1724.67,0.0
1990-06-18,ISEQ,爱尔兰综合,1714.62,1714.62,1714.62,1714.62,0.0
1990-06-19,ISEQ,爱尔兰综合,1704.95,1704.95,1704.95,1704.95,0.0
1990-06-20,ISEQ,爱尔兰综合,1707.28,1707.28,1707.28,1707.28,0.0
1990-06-21,ISEQ,爱尔兰综合,1701.97,1701.97,1701.97,1701.97,0.0
1990-06-22,ISEQ,爱尔兰综合,1698.24,1698.24,1698.24,1698.24,0.0
1990-06-25,ISEQ,爱尔兰综合,1698.24,1698.24,1698.24,1698.24,0.0
1990-06-26,ISEQ,爱尔兰综合,1694.47,1694.47,1694.47,1694.47,0.0
1990-06-27,ISEQ,爱尔兰综合,1688.42,1688.42,1688.42,1688.42,0.0
1990-06-28,ISEQ,爱尔兰综合,1686.4,1686.4,1686.4,1686.4,0.0
1990-06-29,ISEQ,爱尔兰综合,1689.11,1689.11,1689.11,1689.11,0.0
1990-07-02,ISEQ,爱尔兰综合,1689.17,1689.17,1689.17,1689.17,0.0
1990-07-03,ISEQ,爱尔兰综合,1687.73,1687.73,1687.73,1687.73,0.0
1990-07-04,ISEQ,爱尔兰综合,1689.21,1689.21,1689.21,1689.21,0.0
1990-07-05,ISEQ,爱尔兰综合,1684.48,1684.48,1684.48,1684.48,0.0
1990-07-06,ISEQ,爱尔兰综合,1678.05,1678.05,1678.05,1678.05,0.0
1990-07-09,ISEQ,爱尔兰综合,1680.89,1680.89,1680.89,1680.89,0.0
1990-07-10,ISEQ,爱尔兰综合,1672.54,1672.54,1672.54,1672.54,0.0
1990-07-11,ISEQ,爱尔兰综合,1633.3,1633.3,1633.3,1633.3,0.0
1990-07-12,ISEQ,爱尔兰综合,1645.11,1645.11,1645.11,1645.11,0.0
1990-07-13,ISEQ,爱尔兰综合,1652.1,1652.1,1652.1,1652.1,0.0
1990-07-16,ISEQ,爱尔兰综合,1652.1,1652.1,1652.1,1652.1,0.0
1990-07-17,ISEQ,爱尔兰综合,1646.32,1646.32,1646.32,1646.32,0.0
1990-07-18,ISEQ,爱尔兰综合,1645.4,1645.4,1645.4,1645.4,0.0
1990-07-19,ISEQ,爱尔兰综合,1660.85,1660.85,1660.85,1660.85,0.0
1990-07-20,ISEQ,爱尔兰综合,1644.13,1644.13,1644.13,1644.13,0.0
1990-07-23,ISEQ,爱尔兰综合,1643.23,1643.23,1643.23,1643.23,0.0
1990-07-24,ISEQ,爱尔兰综合,1635.36,1635.36,1635.36,1635.36,0.0
1990-07-25,ISEQ,爱尔兰综合,1628.09,1628.09,1628.09,1628.09,0.0
1990-07-26,ISEQ,爱尔兰综合,1625.46,1625.46,1625.46,1625.46,0.0
1990-07-27,ISEQ,爱尔兰综合,1605.87,1605.87,1605.87,1605.87,0.0
1990-07-30,ISEQ,爱尔兰综合,1587.4,1587.4,1587.4,1587.4,0.0
1990-07-31,ISEQ,爱尔兰综合,1567.34,1567.34,1567.34,1567.34,0.0
1990-08-01,ISEQ,爱尔兰综合,1567.34,1567.34,1567.34,1567.34,0.0
1990-08-02,ISEQ,爱尔兰综合,1550.59,1550.59,1550.59,1550.59,0.0
1990-08-03,ISEQ,爱尔兰综合,1542.98,1542.98,1542.98,1542.98,0.0
1990-08-07,ISEQ,爱尔兰综合,1497.14,1497.14,1497.14,1497.14,0.0
1990-08-08,ISEQ,爱尔兰综合,1474.66,1474.66,1474.66,1474.66,0.0
1990-08-09,ISEQ,爱尔兰综合,1490.77,1490.77,1490.77,1490.77,0.0
1990-08-10,ISEQ,爱尔兰综合,1491.88,1491.88,1491.88,1491.88,0.0
1990-08-13,ISEQ,爱尔兰综合,1477.5,1477.5,1477.5,1477.5,0.0
1990-08-14,ISEQ,爱尔兰综合,1448.53,1448.53,1448.53,1448.53,0.0
1990-08-15,ISEQ,爱尔兰综合,1439.09,1439.09,1439.09,1439.09,0.0
1990-08-16,ISEQ,爱尔兰综合,1447.46,1447.46,1447.46,1447.46,0.0
1990-08-17,ISEQ,爱尔兰综合,1406.71,1406.71,1406.71,1406.71,0.0
1990-08-20,ISEQ,爱尔兰综合,1394.72,1394.72,1394.72,1394.72,0.0
1990-08-21,ISEQ,爱尔兰综合,1357.89,1357.89,1357.89,1357.89,0.0
1990-08-22,ISEQ,爱尔兰综合,1354.74,1354.74,1354.74,1354.74,0.0
1990-08-23,ISEQ,爱尔兰综合,1278.96,1278.96,1278.96,1278.96,0.0
1990-08-24,ISEQ,爱尔兰综合,1321.44,1321.44,1321.44,1321.44,0.0
1990-08-27,ISEQ,爱尔兰综合,1363.5,1363.5,1363.5,1363.5,0.0
1990-08-28,ISEQ,爱尔兰综合,1358.81,1358.81,1358.81,1358.81,0.0
1990-08-29,ISEQ,爱尔兰综合,1333.09,1333.09,1333.09,1333.09,0.0
1990-08-30,ISEQ,爱尔兰综合,1333.88,1333.88,1333.88,1333.88,0.0
1990-08-31,ISEQ,爱尔兰综合,1323.27,1323.27,1323.27,1323.27,0.0
1990-09-03,ISEQ,爱尔兰综合,1312.97,1312.97,1312.97,1312.97,0.0
1990-09-04,ISEQ,爱尔兰综合,1293.25,1293.25,1293.25,1293.25,0.0
1990-09-05,ISEQ,爱尔兰综合,1289.24,1289.24,1289.24,1289.24,0.0
1990-09-06,ISEQ,爱尔兰综合,1271.61,1271.61,1271.61,1271.61,0.0
1990-09-07,ISEQ,爱尔兰综合,1259.61,1259.61,1259.61,1259.61,0.0
1990-09-10,ISEQ,爱尔兰综合,1286.16,1286.16,1286.16,1286.16,0.0
1990-09-11,ISEQ,爱尔兰综合,1269.92,1269.92,1269.92,1269.92,0.0
1990-09-12,ISEQ,爱尔兰综合,1280.62,1280.62,1280.62,1280.62,0.0
1990-09-13,ISEQ,爱尔兰综合,1280.79,1280.79,1280.79,1280.79,0.0
1990-09-14,ISEQ,爱尔兰综合,1284.0,1284.0,1284.0,1284.0,0.0
1990-09-17,ISEQ,爱尔兰综合,1278.74,1278.74,1278.74,1278.74,0.0
1990-09-18,ISEQ,爱尔兰综合,1290.66,1290.66,1290.66,1290.66,0.0
1990-09-19,ISEQ,爱尔兰综合,1283.7,1283.7,1283.7,1283.7,0.0
1990-09-20,ISEQ,爱尔兰综合,1263.03,1263.03,1263.03,1263.03,0.0
1990-09-21,ISEQ,爱尔兰综合,1247.63,1247.63,1247.63,1247.63,0.0
1990-09-24,ISEQ,爱尔兰综合,1242.25,1242.25,1242.25,1242.25,0.0
1990-09-25,ISEQ,爱尔兰综合,1230.28,1230.28,1230.28,1230.28,0.0
1990-09-26,ISEQ,爱尔兰综合,1217.77,1217.77,1217.77,1217.77,0.0
1990-09-27,ISEQ,爱尔兰综合,1223.43,1223.43,1223.43,1223.43,0.0
1990-09-28,ISEQ,爱尔兰综合,1208.12,1208.12,1208.12,1208.12,0.0
1990-10-01,ISEQ,爱尔兰综合,1207.29,1207.29,1207.29,1207.29,0.0
1990-10-02,ISEQ,爱尔兰综合,1220.41,1220.41,1220.41,1220.41,0.0
1990-10-03,ISEQ,爱尔兰综合,1249.23,1249.23,1249.23,1249.23,0.0
1990-10-04,ISEQ,爱尔兰综合,1276.62,1276.62,1276.62,1276.62,0.0
1990-10-05,ISEQ,爱尔兰综合,1265.57,1265.57,1265.57,1265.57,0.0
1990-10-08,ISEQ,爱尔兰综合,1321.64,1321.64,1321.64,1321.64,0.0
1990-10-09,ISEQ,爱尔兰综合,1295.02,1295.02,1295.02,1295.02,0.0
1990-10-10,ISEQ,爱尔兰综合,1275.09,1275.09,1275.09,1275.09,0.0
1990-10-11,ISEQ,爱尔兰综合,1264.75,1264.75,1264.75,1264.75,0.0
1990-10-12,ISEQ,爱尔兰综合,1271.66,1271.66,1271.66,1271.66,0.0
1990-10-15,ISEQ,爱尔兰综合,1279.97,1279.97,1279.97,1279.97,0.0
1990-10-16,ISEQ,爱尔兰综合,1295.63,1295.63,1295.63,1295.63,0.0
1990-10-17,ISEQ,爱尔兰综合,1286.45,1286.45,1286.45,1286.45,0.0
1990-10-18,ISEQ,爱尔兰综合,1292.87,1292.87,1292.87,1292.87,0.0
1990-10-19,ISEQ,爱尔兰综合,1297.3,1297.3,1297.3,1297.3,0.0
1990-10-22,ISEQ,爱尔兰综合,1324.61,1324.61,1324.61,1324.61,0.0
1990-10-23,ISEQ,爱尔兰综合,1346.16,1346.16,1346.16,1346.16,0.0
1990-10-24,ISEQ,爱尔兰综合,1342.67,1342.67,1342.67,1342.67,0.0
1990-10-25,ISEQ,爱尔兰综合,1336.28,1336.28,1336.28,1336.28,0.0
1990-10-26,ISEQ,爱尔兰综合,1318.76,1318.76,1318.76,1318.76,0.0
1990-10-30,ISEQ,爱尔兰综合,1301.23,1301.23,1301.23,1301.23,0.0
1990-10-31,ISEQ,爱尔兰综合,1306.48,1306.48,1306.48,1306.48,0.0
1990-11-01,ISEQ,爱尔兰综合,1303.29,1303.29,1303.29,1303.29,0.0
1990-11-02,ISEQ,爱尔兰综合,1296.35,1296.35,1296.35,1296.35,0.0
1990-11-05,ISEQ,爱尔兰综合,1308.33,1308.33,1308.33,1308.33,0.0
1990-11-06,ISEQ,爱尔兰综合,1298.33,1298.33,1298.33,1298.33,0.0
1990-11-07,ISEQ,爱尔兰综合,1264.6,1264.6,1264.6,1264.6,0.0
1990-11-08,ISEQ,爱尔兰综合,1241.14,1241.14,1241.14,1241.14,0.0
1990-11-09,ISEQ,爱尔兰综合,1224.51,1224.51,1224.51,1224.51,0.0
1990-11-12,ISEQ,爱尔兰综合,1208.39,1208.39,1208.39,1208.39,0.0
1990-11-13,ISEQ,爱尔兰综合,1208.89,1208.89,1208.89,1208.89,0.0
1990-11-14,ISEQ,爱尔兰综合,1218.09,1218.09,1218.09,1218.09,0.0
1990-11-15,ISEQ,爱尔兰综合,1212.28,1212.28,1212.28,1212.28,0.0
1990-11-16,ISEQ,爱尔兰综合,1205.35,1205.35,1205.35,1205.35,0.0
1990-11-19,ISEQ,爱尔兰综合,1214.74,1214.74,1214.74,1214.74,0.0
1990-11-20,ISEQ,爱尔兰综合,1233.11,1233.11,1233.11,1233.11,0.0
1990-11-21,ISEQ,爱尔兰综合,1222.77,1222.77,1222.77,1222.77,0.0
1990-11-22,ISEQ,爱尔兰综合,1225.39,1225.39,1225.39,1225.39,0.0
1990-11-23,ISEQ,爱尔兰综合,1211.43,1211.43,1211.43,1211.43,0.0
1990-11-26,ISEQ,爱尔兰综合,1226.73,1226.73,1226.73,1226.73,0.0
1990-11-27,ISEQ,爱尔兰综合,1223.47,1223.47,1223.47,1223.47,0.0
1990-11-28,ISEQ,爱尔兰综合,1216.25,1216.25,1216.25,1216.25,0.0
1990-11-29,ISEQ,爱尔兰综合,1215.72,1215.72,1215.72,1215.72,0.0
1990-11-30,ISEQ,爱尔兰综合,1193.8,1193.8,1193.8,1193.8,0.0
1990-12-03,ISEQ,爱尔兰综合,1205.86,1205.86,1205.86,1205.86,0.0
1990-12-04,ISEQ,爱尔兰综合,1198.57,1198.57,1198.57,1198.57,0.0
1990-12-05,ISEQ,爱尔兰综合,1193.66,1193.66,1193.66,1193.66,0.0
1990-12-06,ISEQ,爱尔兰综合,1211.41,1211.41,1211.41,1211.41,0.0
1990-12-07,ISEQ,爱尔兰综合,1219.6,1219.6,1219.6,1219.6,0.0
1990-12-10,ISEQ,爱尔兰综合,1232.86,1232.86,1232.86,1232.86,0.0
1990-12-11,ISEQ,爱尔兰综合,1235.84,1235.84,1235.84,1235.84,0.0
1990-12-12,ISEQ,爱尔兰综合,1249.79,1249.79,1249.79,1249.79,0.0
1990-12-13,ISEQ,爱尔兰综合,1259.24,1259.24,1259.24,1259.24,0.0
1990-12-14,ISEQ,爱尔兰综合,1261.17,1261.17,1261.17,1261.17,0.0
1990-12-17,ISEQ,爱尔兰综合,1256.99,1256.99,1256.99,1256.99,0.0
1990-12-18,ISEQ,爱尔兰综合,1239.86,1239.86,1239.86,1239.86,0.0
1990-12-19,ISEQ,爱尔兰综合,1228.9,1228.9,1228.9,1228.9,0.0
1990-12-20,ISEQ,爱尔兰综合,1207.61,1207.61,1207.61,1207.61,0.0
1990-12-21,ISEQ,爱尔兰综合,1208.47,1208.47,1208.47,1208.47,0.0
1990-12-24,ISEQ,爱尔兰综合,1203.43,1203.43,1203.43,1203.43,0.0
1990-12-28,ISEQ,爱尔兰综合,1194.52,1194.52,1194.52,1194.52,0.0
1990-12-31,ISEQ,爱尔兰综合,1201.77,1201.77,1201.77,1201.77,0.0
1991-01-02,ISEQ,爱尔兰综合,1181.66,1181.66,1181.66,1181.66,0.0
1991-01-03,ISEQ,爱尔兰综合,1159.97,1159.97,1159.97,1159.97,0.0
1991-01-04,ISEQ,爱尔兰综合,1164.71,1164.71,1164.71,1164.71,0.0
1991-01-07,ISEQ,爱尔兰综合,1157.82,1157.82,1157.82,1157.82,0.0
1991-01-08,ISEQ,爱尔兰综合,1143.08,1143.08,1143.08,1143.08,0.0
1991-01-09,ISEQ,爱尔兰综合,1162.26,1162.26,1162.26,1162.26,0.0
1991-01-10,ISEQ,爱尔兰综合,1148.27,1148.27,1148.27,1148.27,0.0
1991-01-11,ISEQ,爱尔兰综合,1146.61,1146.61,1146.61,1146.61,0.0
1991-01-14,ISEQ,爱尔兰综合,1132.8,1132.8,1132.8,1132.8,0.0
1991-01-15,ISEQ,爱尔兰综合,1123.22,1123.22,1123.22,1123.22,0.0
1991-01-16,ISEQ,爱尔兰综合,1116.63,1116.63,1116.63,1116.63,0.0
1991-01-17,ISEQ,爱尔兰综合,1163.35,1163.35,1163.35,1163.35,0.0
1991-01-18,ISEQ,爱尔兰综合,1159.13,1159.13,1159.13,1159.13,0.0
1991-01-21,ISEQ,爱尔兰综合,1149.31,1149.31,1149.31,1149.31,0.0
1991-01-22,ISEQ,爱尔兰综合,1136.22,1136.22,1136.22,1136.22,0.0
1991-01-23,ISEQ,爱尔兰综合,1132.74,1132.74,1132.74,1132.74,0.0
1991-01-24,ISEQ,爱尔兰综合,1130.39,1130.39,1130.39,1130.39,0.0
1991-01-25,ISEQ,爱尔兰综合,1114.86,1114.86,1114.86,1114.86,0.0
1991-01-28,ISEQ,爱尔兰综合,1115.42,1115.42,1115.42,1115.42,0.0
1991-01-29,ISEQ,爱尔兰综合,1121.69,1121.69,1121.69,1121.69,0.0
1991-01-30,ISEQ,爱尔兰综合,1136.77,1136.77,1136.77,1136.77,0.0
1991-01-31,ISEQ,爱尔兰综合,1155.73,1155.73,1155.73,1155.73,0.0
1991-02-01,ISEQ,爱尔兰综合,1157.96,1157.96,1157.96,1157.96,0.0
1991-02-04,ISEQ,爱尔兰综合,1153.8,1153.8,1153.8,1153.8,0.0
1991-02-05,ISEQ,爱尔兰综合,1174.5,1174.5,1174.5,1174.5,0.0
1991-02-06,ISEQ,爱尔兰综合,1192.96,1192.96,1192.96,1192.96,0.0
1991-02-07,ISEQ,爱尔兰综合,1217.02,1217.02,1217.02,1217.02,0.0
1991-02-08,ISEQ,爱尔兰综合,1222.22,1222.22,1222.22,1222.22,0.0
1991-02-11,ISEQ,爱尔兰综合,1249.68,1249.68,1249.68,1249.68,0.0
1991-02-12,ISEQ,爱尔兰综合,1237.93,1237.93,1237.93,1237.93,0.0
1991-02-13,ISEQ,爱尔兰综合,1260.39,1260.39,1260.39,1260.39,0.0
1991-02-14,ISEQ,爱尔兰综合,1268.07,1268.07,1268.07,1268.07,0.0
1991-02-15,ISEQ,爱尔兰综合,1278.42,1278.42,1278.42,1278.42,0.0
1991-02-19,ISEQ,爱尔兰综合,1304.91,1304.91,1304.91,1304.91,0.0
1991-02-20,ISEQ,爱尔兰综合,1303.94,1303.94,1303.94,1303.94,0.0
1991-02-21,ISEQ,爱尔兰综合,1302.99,1302.99,1302.99,1302.99,0.0
1991-02-22,ISEQ,爱尔兰综合,1318.41,1318.41,1318.41,1318.41,0.0
1991-02-25,ISEQ,爱尔兰综合,1333.41,1333.41,1333.41,1333.41,0.0
1991-02-26,ISEQ,爱尔兰综合,1365.55,1365.55,1365.55,1365.55,0.0
1991-02-27,ISEQ,爱尔兰综合,1354.81,1354.81,1354.81,1354.81,0.0
1991-02-28,ISEQ,爱尔兰综合,1378.81,1378.81,1378.81,1378.81,0.0
1991-03-01,ISEQ,爱尔兰综合,1390.48,1390.48,1390.48,1390.48,0.0
1991-03-04,ISEQ,爱尔兰综合,1382.88,1382.88,1382.88,1382.88,0.0
1991-03-05,ISEQ,爱尔兰综合,1386.2,1386.2,1386.2,1386.2,0.0
1991-03-06,ISEQ,爱尔兰综合,1396.8,1396.8,1396.8,1396.8,0.0
1991-03-07,ISEQ,爱尔兰综合,1420.36,1420.36,1420.36,1420.36,0.0
1991-03-08,ISEQ,爱尔兰综合,1433.97,1433.97,1433.97,1433.97,0.0
1991-03-11,ISEQ,爱尔兰综合,1455.69,1455.69,1455.69,1455.69,0.0
1991-03-12,ISEQ,爱尔兰综合,1476.24,1476.24,1476.24,1476.24,0.0
1991-03-13,ISEQ,爱尔兰综合,1489.25,1489.25,1489.25,1489.25,0.0
1991-03-14,ISEQ,爱尔兰综合,1510.49,1510.49,1510.49,1510.49,0.0
1991-03-15,ISEQ,爱尔兰综合,1519.08,1519.08,1519.08,1519.08,0.0
1991-03-18,ISEQ,爱尔兰综合,1520.65,1520.65,1520.65,1520.65,0.0
1991-03-19,ISEQ,爱尔兰综合,1495.89,1495.89,1495.89,1495.89,0.0
1991-03-20,ISEQ,爱尔兰综合,1479.97,1479.97,1479.97,1479.97,0.0
1991-03-21,ISEQ,爱尔兰综合,1500.47,1500.47,1500.47,1500.47,0.0
1991-03-22,ISEQ,爱尔兰综合,1491.97,1491.97,1491.97,1491.97,0.0
1991-03-25,ISEQ,爱尔兰综合,1468.32,1468.32,1468.32,1468.32,0.0
1991-03-26,ISEQ,爱尔兰综合,1456.94,1456.94,1456.94,1456.94,0.0
1991-03-27,ISEQ,爱尔兰综合,1468.52,1468.52,1468.52,1468.52,0.0
1991-03-28,ISEQ,爱尔兰综合,1481.61,1481.61,1481.61,1481.61,0.0
1991-04-02,ISEQ,爱尔兰综合,1489.56,1489.56,1489.56,1489.56,0.0
1991-04-03,ISEQ,爱尔兰综合,1510.59,1510.59,1510.59,1510.59,0.0
1991-04-04,ISEQ,爱尔兰综合,1518.26,1518.26,1518.26,1518.26,0.0
1991-04-05,ISEQ,爱尔兰综合,1510.86,1510.86,1510.86,1510.86,0.0
1991-04-08,ISEQ,爱尔兰综合,1502.0,1502.0,1502.0,1502.0,0.0
1991-04-09,ISEQ,爱尔兰综合,1497.72,1497.72,1497.72,1497.72,0.0
1991-04-10,ISEQ,爱尔兰综合,1487.19,1487.19,1487.19,1487.19,0.0
1991-04-11,ISEQ,爱尔兰综合,1483.46,1483.46,1483.46,1483.46,0.0
1991-04-12,ISEQ,爱尔兰综合,1484.05,1484.05,1484.05,1484.05,0.0
