"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017-5-10","0.9940","0.9700","0.9946","0.9650","253.82K","2.47%"
"2017-5-9","0.9700","0.9711","0.9780","0.9527","462.52K","-0.11%"
"2017-5-8","0.9711","0.9281","0.9720","0.9281","69.67K","4.63%"
"2017-5-7","0.9281","0.9830","0.9830","0.9280","59.90K","-5.58%"
"2017-5-6","0.9830","0.9790","0.9929","0.9550","56.41K","0.41%"
"2017-5-5","0.9790","0.9590","0.9800","0.9306","196.71K","2.09%"
"2017-5-4","0.9590","0.9347","0.9639","0.9155","198.89K","2.60%"
"2017-5-3","0.9347","0.9283","0.9480","0.9212","76.23K","0.69%"
"2017-5-2","0.9283","0.9156","0.9400","0.9121","57.01K","1.39%"
"2017-5-1","0.9156","0.9350","0.9400","0.9151","34.20K","-2.07%"
"2017-4-30","0.9350","0.9310","0.9529","0.9120","74.28K","0.43%"
"2017-4-29","0.9310","0.9400","0.9524","0.9310","25.58K","-0.96%"
"2017-4-28","0.9400","0.9200","0.9649","0.9199","75.78K","2.17%"
"2017-4-27","0.9200","0.9201","0.9370","0.9199","47.58K","-0.01%"
"2017-4-26","0.9201","0.9040","0.9367","0.9030","52.90K","1.78%"
"2017-4-25","0.9040","0.9150","0.9250","0.8900","100.97K","-1.20%"
"2017-4-24","0.9150","0.9150","0.9286","0.9010","79.09K","0.00%"
"2017-4-23","0.9150","0.9150","0.9400","0.9010","76.41K","0.00%"
"2017-4-22","0.9150","0.9363","0.9500","0.9150","118.03K","-2.27%"
"2017-4-21","0.9363","0.9490","0.9500","0.9000","61.12K","-1.34%"
"2017-4-20","0.9490","0.9460","0.9549","0.9200","76.29K","0.32%"
"2017-4-19","0.9460","0.9450","0.9549","0.9372","28.87K","0.11%"
"2017-4-18","0.9450","0.9392","0.9628","0.9207","39.25K","0.62%"
"2017-4-17","0.9392","0.9515","0.9698","0.9211","38.75K","-1.29%"
"2017-4-16","0.9515","0.9896","0.9896","0.9515","12.41K","-3.85%"
"2017-4-15","0.9896","0.9899","0.9899","0.9676","14.92K","-0.03%"
"2017-4-14","0.9899","0.9939","0.9960","0.9689","71.65K","-0.40%"
